"CVE_COMPROBANTE","NOIDENTIFICACION"
"2128013","3676-CCS-024270"
"2128013","3677-CCS-024270"
"2128013","3678-CCS-024270"
"2128013","3682-CCS-024270"
"2128013","3683-CCS-024270"
"2128013","3684-CCS-024270"
"2128013","3685-CCS-024270"
"2128013","3700-CCS-024270"
"2128013","3702-CCS-024270"
"2128013","3703-CCS-024270"
"2128013","3704-CCS-024270"
"2128013","3705-CCS-024270"
"2128013","3706-CCS-024270"
"2128013","3707-CCS-024270"
"2128013","3708-CCS-024270"
"2128013","3714-CCS-024270"
"2128013","3715-CCS-024270"
"2128013","3716-CCS-024270"
"2128013","3719-CCS-024270"
"2128013","3720-CCS-024270"
"2128013","3747-CCS-024270"
"2128013","3748-CCS-024270"
"2128013","3749-CCS-024270"
"2128013","3750-CCS-024270"
"2128013","3751-CCS-024270"
"2128013","3755-CCS-024270"
"2128013","3756-CCS-024270"
"2128013","3757-CCS-024270"
"2128013","3759-CCS-024270"
"2128013","3760-CCS-024270"
"2128013","3762-CCS-024270"
"2128013","3772-CCS-024270"
"2128013","3774-CCS-024270"
"2128013","3779-CCS-024270"
"2128013","3780-CCS-024270"
"2128013","3782-CCS-024270"
"2128013","3783-CCS-024270"
"2128013","3784-CCS-024270"
"2128013","3788-CCS-024270"
"2128013","3789-CCS-024270"
"2128013","3790-CCS-024270"
"2128013","3791-CCS-024270"
"2128013","3792-CCS-024270"
"2128013","3796-CCS-024270"
"2128013","3798-CCS-024270"
"2128013","3799-CCS-024270"
"2128013","3801-CCS-024270"
"2128013","3803-CCS-024270"
"2128013","3807-CCS-024270"
"2128013","3808-CCS-024270"
"2128013","3811-CCS-024270"
"2128013","3821-CCS-024270"
"2128013","3829-CCS-024270"
"2128013","3836-CCS-024270"
"2128013","3838-CCS-024270"
"2128013","3846-CCS-024270"
"2128013","3847-CCS-024270"
"2128013","3848-CCS-024270"
"2128013","3849-CCS-024270"
"2128013","3851-CCS-024270"
"2128013","3852-CCS-024270"
"2128013","3855-CCS-024270"
"2128013","3858-CCS-024270"
"2128013","3863-CCS-024270"
"2128013","3866-CCS-024270"
"2128013","3869-CCS-024270"
"2128013","3870-CCS-024270"
"2128013","3871-CCS-024270"
"2128013","3875-CCS-024270"
"2128013","3880-CCS-024270"
"2128013","3884-CCS-024270"
"2128013","3887-CCS-024270"
"2128013","3889-CCS-024270"
"2128013","3892-CCS-024270"
"2128013","3905-CCS-024270"
"2128013","3908-CCS-024270"
"2128013","3909-CCS-024270"
"2128013","3912-CCS-024270"
"2128013","3922-CCS-024270"
"2128013","3923-CCS-024270"
"2128013","3925-CCS-024270"
"2128013","3941-CCS-024270"
"2128013","3942-CCS-024270"
"2128013","3943-CCS-024270"
"2128013","3955-CCS-024270"
"2128013","3957-CCS-024270"
"2128013","3965-CCS-024270"
"2128013","3973-CCS-024270"
"2128013","3983-CCS-024270"
"2128013","3984-CCS-024270"
"2128013","3986-CCS-024270"
"2128013","3988-CCS-024270"
"2128013","3997-CCS-024270"
"2128013","4005-CCS-024270"
"2128013","4006-CCS-024270"
"2128013","4010-CCS-024270"
"2128013","4012-CCS-024270"
"2128013","4013-CCS-024270"
"2128013","4016-CCS-024270"
"2128013","4018-CCS-024270"
"2128013","4023-CCS-024270"
"2128013","4024-CCS-024270"
"2128013","4027-CCS-024270"
"2128013","4028-CCS-024270"
"2128013","4031-CCS-024270"
"2128013","4043-CCS-024270"
"2128013","4044-CCS-024270"
"2128013","4049-CCS-024270"
"2128013","4050-CCS-024270"
"2128013","4064-CCS-024270"
"2128013","4065-CCS-024270"
"2128013","4066-CCS-024270"
"2128013","4067-CCS-024270"
"2128013","4071-CCS-024270"
"2128013","4072-CCS-024270"
"2128013","4073-CCS-024270"
"2128013","4074-CCS-024270"
"2128013","4090-CCS-024270"
"2128013","4091-CCS-024270"
"2128013","4094-CCS-024270"
"2128013","4095-CCS-024270"
"2128013","4097-CCS-024270"
"2128013","4100-CCS-024270"
"2128013","4101-CCS-024270"
"2128013","4103-CCS-024270"
"2128013","4105-CCS-024270"
"2128013","4106-CCS-024270"
"2128013","4109-CCS-024270"
"2128013","4121-CCS-024270"
"2128013","4122-CCS-024270"
"2128013","4123-CCS-024270"
"2128013","4125-CCS-024270"
"2128013","4126-CCS-024270"
"2128013","4129-CCS-024270"
"2128013","4130-CCS-024270"
"2128013","4131-CCS-024270"
"2128013","4132-CCS-024270"
"2128013","4133-CCS-024270"
"2128013","4141-CCS-024270"
"2128013","4145-CCS-024270"
"2128013","4146-CCS-024270"
"2128013","4152-CCS-024270"
"2128013","4153-CCS-024270"
"2128013","4154-CCS-024270"
"2128013","4155-CCS-024270"
"2128013","4158-CCS-024270"
"2128013","4159-CCS-024270"
"2128013","4163-CCS-024270"
"2128013","4176-CCS-024270"
"2128013","4179-CCS-024270"
"2128013","4180-CCS-024270"
"2128013","4181-CCS-024270"
"2128013","4183-CCS-024270"
"2128013","4184-CCS-024270"
"2128013","4188-CCS-024270"
"2128013","4189-CCS-024270"
"2128013","4194-CCS-024270"
"2128013","4195-CCS-024270"
"2128013","4202-CCS-024270"
"2128013","4203-CCS-024270"
"2128013","4204-CCS-024270"
"2128013","4205-CCS-024270"
"2128013","4206-CCS-024270"
"2128013","4207-CCS-024270"
"2128013","4211-CCS-024270"
"2128013","4214-CCS-024270"
"2128013","4217-CCS-024270"
"2128013","4223-CCS-024270"
"2128013","4228-CCS-024270"
"2128013","4231-CCS-024270"
"2128013","4233-CCS-024270"
"2128013","4236-CCS-024270"
"2128013","4237-CCS-024270"
"2128013","4238-CCS-024270"
"2128013","4239-CCS-024270"
"2128013","4241-CCS-024270"
"2128013","4242-CCS-024270"
"2128013","4253-CCS-024270"
"2128013","4259-CCS-024270"
"2128013","4261-CCS-024270"
"2128013","4265-CCS-024270"
"2128013","4267-CCS-024270"
"2128013","4279-CCS-024270"
"2128013","4280-CCS-024270"
"2128013","4281-CCS-024270"
"2128013","4282-CCS-024270"
"2128013","4283-CCS-024270"
"2128013","4284-CCS-024270"
"2128013","4300-CCS-024270"
"2128013","4301-CCS-024270"
"2128013","4302-CCS-024270"
"2128013","4304-CCS-024270"
"2128013","4310-CCS-024270"
"2128013","4311-CCS-024270"
"2128013","4313-CCS-024270"
"2128013","4314-CCS-024270"
"2128013","4315-CCS-024270"
"2128013","4316-CCS-024270"
"2128013","4324-CCS-024270"
"2128013","4325-CCS-024270"
"2128013","4332-CCS-024270"
"2128013","4339-CCS-024270"
"2128013","4340-CCS-024270"
"2128013","4341-CCS-024270"
"2128013","4342-CCS-024270"
"2128013","4343-CCS-024270"
"2128013","4344-CCS-024270"
"2128013","4346-CCS-024270"
"2128013","4347-CCS-024270"
"2128013","4348-CCS-024270"
"2128013","4349-CCS-024270"
"2128013","4350-CCS-024270"
"2128013","4364-CCS-024270"
"2128013","4365-CCS-024270"
"2128013","4366-CCS-024270"
"2128013","4367-CCS-024270"
"2128013","4368-CCS-024270"
"2128013","4372-CCS-024270"
"2128013","4373-CCS-024270"
"2128013","4374-CCS-024270"
"2128013","4379-CCS-024270"
"2128013","4381-CCS-024270"
"2128013","4382-CCS-024270"
"2128013","4383-CCS-024270"
"2128013","4386-CCS-024270"
"2128013","4391-CCS-024270"
"2128013","4398-CCS-024270"
"2128013","4399-CCS-024270"
"2128013","4400-CCS-024270"
"2128013","4401-CCS-024270"
"2128013","4403-CCS-024270"
"2128013","4404-CCS-024270"
"2128013","4405-CCS-024270"
"2128013","4411-CCS-024270"
"2128013","4412-CCS-024270"
"2128013","4421-CCS-024270"
"2128013","4422-CCS-024270"
"2128013","4423-CCS-024270"
"2128013","4424-CCS-024270"
"2128013","4425-CCS-024270"
"2128013","4426-CCS-024270"
"2128013","4427-CCS-024270"
"2128013","4428-CCS-024270"
"2128013","4429-CCS-024270"
"2128013","4430-CCS-024270"
"2128013","4432-CCS-024270"
"2128013","4434-CCS-024270"
"2128013","4435-CCS-024270"
"2128013","4442-CCS-024270"
"2128013","4445-CCS-024270"
"2128013","4446-CCS-024270"
"2128013","4458-CCS-024270"
"2128013","4459-CCS-024270"
"2128013","4464-CCS-024270"
"2128013","4465-CCS-024270"
